first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance,full_name,goals_per_90,assists_per_90,points_per_million,is_playing_next
Paris,Maghoma,4,4.5,8,0,0,0,112,0.0,,Paris Maghoma,0.0,0.0,1.7777773827161372,True
Benjamin,Arthur,4,4.0,0,0,0,0,0,0.0,,Benjamin Arthur,0.0,0.0,0.0,True
Thomas,Frank,4,0.8,112,0,0,0,0,20.1,,Thomas Frank,0.0,0.0,139.99982500021875,True
Michael,Kayode,4,4.5,25,0,1,2,438,0.2,100.0,Michael Kayode,0.0,0.20547940983299798,5.555554320987929,True
Julian,Eyestone,4,4.0,0,0,0,0,0,0.0,,Julian Eyestone,0.0,0.0,0.0,True
Iwan,Morgan,4,4.5,0,0,0,0,0,0.0,,Iwan Morgan,0.0,0.0,0.0,True
Benjamin,Fredrick,4,4.0,0,0,0,0,0,0.0,,Benjamin Fredrick,0.0,0.0,0.0,True
Simon,Adingra,5,5.1,57,2,3,2,972,0.3,100.0,Simon Adingra,0.18518516803841037,0.27777775205761557,11.176468396770902,True
Benicio,Baker-Boaitey,5,4.5,0,0,0,0,0,0.0,0.0,Benicio Baker-Boaitey,0.0,0.0,0.0,False
Carlos,Baleba,5,5.0,83,3,1,8,2480,0.2,100.0,Carlos Baleba,0.10887096379097308,0.03629032126365769,16.599996680000665,True
Valentín,Barco,5,4.0,0,0,0,0,0,1.9,0.0,Valentín Barco,0.0,0.0,0.0,False
Amario,Cozier-Duberry,5,4.5,0,0,0,0,0,0.0,0.0,Amario Cozier-Duberry,0.0,0.0,0.0,False
Mahmoud,Dahoud,5,4.9,0,0,0,0,0,0.0,0.0,Mahmoud Dahoud,0.0,0.0,0.0,False
Lewis,Dunk,5,4.2,44,0,1,4,2081,2.3,100.0,Lewis Dunk,0.0,0.043248436380413605,10.476187981860004,True
Pervis,Estupiñán,5,4.9,62,1,1,3,2309,1.2,100.0,Pervis Estupiñán,0.03897791099696319,0.03897791099696319,12.65305864223293,True
Billy,Gilmour,5,5.0,3,0,0,0,97,0.0,0.0,Billy Gilmour,0.0,0.0,0.599999880000024,False
Pascal,Groß,5,6.5,0,0,0,0,0,0.0,0.0,Pascal Groß,0.0,0.0,0.0,False
Jack,Hinshelwood,5,4.9,68,2,3,6,1743,0.1,100.0,Jack Hinshelwood,0.10327021841978218,0.15490532762967327,13.87754818825547,True
Ibrahim,Osman,5,5.0,0,0,0,0,0,0.0,0.0,Ibrahim Osman,0.0,0.0,0.0,False
Igor Julio,dos Santos de Paulo,5,4.3,17,0,0,1,900,0.1,100.0,Igor Julio dos Santos de Paulo,0.0,0.0,3.9534874526773365,True
